ayah_id,surah_number,ayah_number,issue_type,severity,detail,evidence
254,2,248,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
261,2,255,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
261,2,255,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
264,2,258,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
281,2,275,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
284,2,278,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""و"", ""text"": ""وٓ""}"
288,2,282,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
289,2,283,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
298,3,7,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
321,3,30,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
324,3,33,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
364,3,73,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
366,3,75,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
366,3,75,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
394,3,103,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
421,3,130,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""و"", ""text"": ""وٓ""}"
442,3,151,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""م"", ""text"": ""مَٓ""}"
443,3,152,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
443,3,152,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
493,4,2,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
497,4,6,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
502,4,11,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
502,4,11,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
503,4,12,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
509,4,18,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
541,4,50,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
583,4,92,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
585,4,94,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
608,4,117,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
626,4,135,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""و"", ""text"": ""وٗٓ""}"
631,4,140,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
662,4,171,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
667,4,176,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
674,5,7,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
721,5,54,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
756,5,89,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
761,5,94,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
776,5,109,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ذ"", ""text"": ""ذَٓ""}"
782,5,115,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
784,5,117,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
804,6,17,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
857,6,70,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
858,6,71,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
858,6,71,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
867,6,80,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
871,6,84,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
878,6,91,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
886,6,99,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
886,6,99,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ذ"", ""text"": ""ذَٓ""}"
897,6,110,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
925,6,138,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
928,6,141,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
932,6,145,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
954,7,3,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1005,7,54,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1011,7,60,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1017,7,66,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1031,7,80,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1033,7,82,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1034,7,83,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1062,7,111,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ا"", ""text"": ""آ""}"
1093,7,142,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1101,7,150,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1108,7,157,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1111,7,160,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1116,7,165,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1127,7,176,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1158,8,1,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1173,8,16,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1181,8,24,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1185,8,28,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1191,8,34,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1224,8,67,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1233,9,1,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1235,9,3,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1239,9,7,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1254,9,22,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1260,9,28,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1284,9,52,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1291,9,59,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1294,9,62,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1346,9,114,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1356,9,124,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1373,10,12,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1444,10,83,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1451,10,90,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1470,10,109,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1477,11,7,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ذ"", ""text"": ""ذَٓ""}"
1482,11,12,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1487,11,17,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1495,11,25,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1510,11,40,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1510,11,40,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1527,11,57,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1540,11,70,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1542,11,72,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1572,11,102,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1574,11,104,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1600,12,7,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1614,12,21,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1614,12,21,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ى"", ""text"": ""ىٓ""}"
1615,12,22,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1624,12,31,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1630,12,37,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1633,12,40,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1640,12,47,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1647,12,54,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1659,12,66,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٖٓ""}"
1667,12,74,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1671,12,78,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
1672,12,79,unresolved_maddah_sign,warning,"Tanda maddah tidak dapat dipetakan ke nucleus mad core; kemungkinan termasuk mad harfi, farq, atau rasm khusus.","{""base_letter"": ""ه"", ""text"": ""هٗٓ""}"
