ayah_id,surah_number,ayah_number,ayah_stop_annotations,wasl_annotations,ayah_stop_segments,wasl_segments,issue_count,has_error
442,3,151,26,26,42,43,4,False
443,3,152,60,60,96,97,6,False
444,3,153,39,39,65,66,2,False
445,3,154,105,105,169,169,4,False
446,3,155,28,28,44,45,4,False
447,3,156,56,56,88,88,4,False
448,3,157,21,21,32,33,0,False
449,3,158,8,8,14,15,2,False
450,3,159,38,38,64,65,2,False
451,3,160,24,24,41,42,4,False
452,3,161,15,15,27,28,0,False
453,3,162,15,15,23,23,0,False
454,3,163,15,15,20,21,0,False
455,3,164,36,36,58,59,0,False
456,3,165,28,28,42,42,0,False
457,3,166,12,12,20,21,2,False
458,3,167,46,46,77,78,2,False
459,3,168,23,23,33,34,2,False
460,3,169,19,19,33,34,2,False
461,3,170,26,26,43,44,4,False
462,3,171,19,19,30,31,0,False
463,3,172,25,25,38,39,4,False
464,3,173,27,27,40,41,2,False
465,3,174,25,25,40,41,0,False
466,3,175,18,18,26,27,0,False
467,3,176,34,34,57,58,6,False
468,3,177,18,18,33,33,6,False
469,3,178,28,28,45,46,2,False
470,3,179,49,49,82,83,0,False
471,3,180,41,41,64,64,2,False
472,3,181,30,29,43,43,2,False
473,3,182,13,12,18,18,0,False
474,3,183,45,45,68,69,8,False
475,3,184,22,22,37,37,0,False
476,3,185,35,35,55,55,2,False
477,3,186,39,39,65,65,4,False
478,3,187,31,31,47,48,2,False
479,3,188,25,25,46,46,4,False
480,3,189,15,15,20,20,0,False
481,3,190,24,23,34,34,2,False
482,3,191,38,38,58,58,2,False
483,3,192,17,17,27,27,0,False
484,3,193,37,37,61,61,0,False
485,3,194,19,18,33,32,0,False
486,3,195,82,81,121,121,2,False
487,3,196,11,10,17,17,2,False
488,3,197,11,10,16,16,0,False
489,3,198,39,39,53,53,2,False
490,3,199,46,45,71,71,4,False
491,3,200,19,19,33,34,4,False
492,4,1,48,47,76,76,6,False
493,4,2,30,29,47,47,4,False
494,4,3,42,42,70,70,6,False
495,4,4,24,23,36,36,0,False
496,4,5,31,30,47,47,2,False
497,4,6,66,65,105,105,6,False
498,4,7,44,43,65,65,0,False
499,4,8,31,30,41,41,0,False
500,4,9,20,19,31,31,4,False
501,4,10,21,20,33,33,2,False
502,4,11,90,89,149,149,4,False
503,4,12,107,107,179,180,2,False
504,4,13,29,29,41,42,0,False
505,4,14,18,18,26,27,0,False
506,4,15,39,38,65,65,2,False
507,4,16,30,29,43,43,2,False
508,4,17,32,31,47,47,4,False
509,4,18,31,30,53,53,8,False
510,4,19,58,57,96,96,4,False
511,4,20,28,27,42,42,0,False
512,4,21,16,15,24,24,2,False
513,4,22,24,23,39,39,2,False
514,4,23,94,93,152,151,10,False
515,4,24,68,67,109,109,2,False
516,4,25,88,88,144,145,0,False
517,4,26,19,19,30,31,2,False
518,4,27,21,20,31,31,2,False
519,4,28,12,11,18,18,0,False
520,4,29,41,40,64,64,4,False
521,4,30,16,15,25,25,2,False
522,4,31,21,20,35,35,0,False
523,4,32,36,35,53,53,2,False
524,4,33,32,31,53,53,2,False
525,4,34,70,69,108,108,2,False
526,4,35,31,30,47,47,0,False
527,4,36,58,58,93,93,2,False
528,4,37,28,28,44,44,2,False
529,4,38,33,32,51,51,2,False
530,4,39,26,25,40,40,0,False
531,4,40,20,19,32,32,0,False
532,4,41,12,12,21,21,0,False
533,4,42,17,16,27,27,2,False
534,4,43,78,77,122,122,6,False
535,4,44,24,24,35,36,6,False
536,4,45,15,14,21,21,0,False
537,4,46,59,58,97,97,6,False
538,4,47,44,43,68,68,2,False
539,4,48,21,20,35,35,2,False
540,4,49,18,17,30,30,6,False
541,4,50,11,10,17,17,4,False
542,4,51,36,35,56,56,10,False
543,4,52,13,12,17,17,2,False
544,4,53,16,16,25,25,0,False
545,4,54,30,29,47,47,2,False
546,4,55,14,13,21,21,0,False
547,4,56,34,33,53,53,2,False
548,4,57,41,40,61,61,2,False
549,4,58,40,39,60,60,2,False
550,4,59,55,54,83,83,8,False
551,4,60,44,43,74,74,10,False
552,4,61,24,24,40,40,4,False
553,4,62,24,23,38,38,2,False
554,4,63,23,22,37,37,2,False
555,4,64,35,34,58,58,6,False
556,4,65,25,24,43,43,0,False
557,4,66,37,37,62,62,2,False
558,4,67,13,13,18,18,0,False
559,4,68,8,7,12,12,0,False
560,4,69,35,34,52,52,2,False
561,4,70,9,8,12,12,0,False
562,4,71,19,18,32,32,2,False
563,4,72,23,22,37,37,0,False
564,4,73,23,22,37,37,0,False
565,4,74,32,31,49,49,2,False
566,4,75,54,53,90,90,2,False
567,4,76,33,32,59,58,4,False
568,4,77,70,69,105,105,8,False
569,4,78,53,52,78,78,0,False
570,4,79,26,25,40,40,0,False
571,4,80,16,15,28,27,0,False
572,4,81,34,33,52,52,4,False
573,4,82,19,18,28,28,0,False
574,4,83,47,46,69,69,8,False
575,4,84,26,25,45,45,6,False
576,4,85,27,26,44,44,0,False
577,4,86,19,18,28,28,0,False
578,4,87,21,20,35,35,6,False
579,4,88,26,25,40,40,0,False
580,4,89,42,42,71,71,0,False
581,4,90,53,52,93,93,8,False
582,4,91,51,50,87,87,4,False
583,4,92,86,85,141,141,10,False
584,4,93,20,19,30,30,0,False
585,4,94,60,59,94,94,6,False
586,4,95,61,61,100,100,0,False
587,4,96,18,17,22,22,0,False
588,4,97,46,46,74,74,4,False
589,4,98,22,22,36,36,2,False
590,4,99,14,13,19,19,2,False
591,4,100,45,44,71,71,6,False
592,4,101,35,34,54,54,2,False
593,4,102,87,86,139,139,4,False
594,4,103,37,36,55,55,2,False
595,4,104,31,30,49,49,0,False
596,4,105,22,21,37,36,4,False
597,4,106,13,13,18,18,0,False
598,4,107,16,16,29,29,2,False
599,4,108,22,21,36,36,0,False
600,4,109,30,29,44,44,0,False
601,4,110,15,14,21,21,0,False
602,4,111,14,13,21,21,0,False
603,4,112,16,15,24,24,0,False
604,4,113,40,39,66,66,2,False
605,4,114,37,36,53,53,2,False
606,4,115,21,20,36,36,0,False
607,4,116,22,21,36,36,0,False
608,4,117,20,20,30,30,6,False
609,4,118,12,12,19,19,0,False
610,4,119,42,41,67,67,0,False
611,4,120,13,12,21,21,2,False
612,4,121,11,10,18,18,0,False
613,4,122,35,34,51,51,2,False
614,4,123,21,20,35,35,0,False
615,4,124,22,21,36,36,0,False
616,4,125,22,21,29,29,4,False
617,4,126,18,17,25,25,0,False
618,4,127,62,61,99,99,2,False
619,4,128,42,41,69,69,0,False
620,4,129,34,33,51,51,0,False
621,4,130,16,15,22,22,0,False
622,4,131,50,49,78,78,4,False
623,4,132,16,15,23,23,0,False
624,4,133,18,17,29,29,0,False
625,4,134,28,27,42,42,0,False
626,4,135,54,53,87,87,4,False
627,4,136,44,43,74,74,6,False
628,4,137,27,27,47,47,2,False
629,4,138,9,9,17,17,2,False
630,4,139,23,23,42,42,2,False
631,4,140,46,46,78,78,2,False
632,4,141,59,58,95,95,6,False
633,4,142,35,35,52,52,4,False
634,4,143,20,19,32,32,4,False
635,4,144,32,31,51,51,2,False
636,4,145,16,16,27,27,0,False
637,4,146,35,34,54,54,4,False
638,4,147,19,18,30,29,0,False
639,4,148,18,17,28,28,2,False
640,4,149,18,17,28,28,0,False
641,4,150,30,30,47,47,2,False
642,4,151,19,18,26,26,0,False
643,4,152,32,31,44,44,2,False
644,4,153,50,49,77,77,0,False
645,4,154,31,30,50,50,0,False
646,4,155,33,33,53,53,2,False
647,4,156,8,8,15,15,0,False
648,4,157,41,41,73,73,4,False
649,4,158,12,11,16,16,2,False
650,4,159,15,15,26,26,2,False
651,4,160,19,19,30,30,2,False
652,4,161,29,28,46,46,2,False
653,4,162,55,54,84,84,2,False
654,4,163,44,44,73,73,8,False
655,4,164,17,17,28,28,0,False
656,4,165,24,23,35,35,2,False
657,4,166,15,15,25,25,2,False
658,4,167,16,15,25,25,2,False
659,4,168,15,15,27,27,2,False
660,4,169,16,15,24,24,4,False
661,4,170,42,41,64,64,0,False
662,4,171,79,78,122,122,10,False
663,4,172,26,25,42,42,2,False
664,4,173,48,47,75,75,6,False
665,4,174,26,25,38,38,2,False
666,4,175,27,27,45,45,4,False
667,4,176,56,56,94,95,4,False
668,5,1,33,32,56,56,4,False
669,5,2,89,88,144,144,4,False
670,5,3,83,83,147,148,4,False
671,5,4,41,40,64,64,2,False
672,5,5,63,63,111,112,4,False
673,5,6,103,103,166,167,8,False
674,5,7,28,28,43,43,6,False
675,5,8,42,42,65,66,6,False
676,5,9,19,19,29,30,2,False
677,5,10,14,14,20,21,2,False
678,5,11,28,28,49,50,8,False
679,5,12,74,74,115,116,0,False
680,5,13,52,52,80,81,2,False
681,5,14,37,37,56,57,6,False
682,5,15,38,38,56,57,2,False
683,5,16,26,26,42,43,4,False
684,5,17,51,51,79,79,2,False
685,5,18,44,44,65,65,4,False
686,5,19,46,46,67,67,0,False
687,5,20,30,30,43,44,0,False
688,5,21,24,24,41,42,2,False
689,5,22,35,35,50,51,0,False
690,5,23,31,31,49,50,4,False
691,5,24,30,30,43,44,0,False
692,5,25,19,19,30,31,2,False
693,5,26,20,20,32,33,0,False
694,5,27,27,27,46,47,0,False
695,5,28,21,21,37,38,4,False
696,5,29,19,19,31,32,0,False
697,5,30,6,6,10,11,0,False
698,5,31,32,32,47,47,0,False
699,5,32,59,59,94,95,0,False
700,5,33,45,45,74,75,2,False
701,5,34,23,23,33,34,4,False
702,5,35,20,20,37,38,6,False
703,5,36,26,26,44,44,4,False
704,5,37,22,22,31,32,0,False
705,5,38,27,27,41,42,0,False
706,5,39,17,17,25,26,0,False
707,5,40,24,24,34,34,2,False
708,5,41,99,99,158,159,8,False
709,5,42,39,39,66,67,0,False
710,5,43,17,17,28,29,2,False
711,5,44,69,69,104,105,6,False
712,5,45,49,49,77,78,0,False
713,5,46,31,31,51,52,4,False
714,5,47,22,22,34,35,0,False
715,5,48,68,68,117,118,8,False
716,5,49,47,47,77,78,2,False
717,5,50,10,10,17,18,0,False
718,5,51,37,37,61,62,4,False
719,5,52,42,42,68,69,4,False
720,5,53,25,25,45,46,4,False
721,5,54,51,51,82,83,4,False
722,5,55,25,25,38,39,4,False
723,5,56,17,17,26,27,2,False
724,5,57,39,39,64,65,8,False
725,5,58,17,17,27,28,2,False
726,5,59,28,28,46,47,4,False
727,5,60,37,37,50,51,0,False
728,5,61,25,25,39,40,0,False
729,5,62,22,22,33,34,2,False
730,5,63,19,19,32,33,0,False
731,5,64,72,72,112,113,4,False
732,5,65,21,21,34,35,0,False
733,5,66,41,41,66,67,4,False
734,5,67,32,32,51,52,2,False
735,5,68,47,47,73,74,6,False
736,5,69,35,35,59,60,6,False
737,5,70,35,35,58,59,2,False
738,5,71,31,31,47,48,2,False
739,5,72,50,50,82,82,4,False
740,5,73,41,41,68,68,12,False
741,5,74,15,15,21,22,4,False
742,5,75,36,36,54,55,2,False
743,5,76,20,20,32,33,0,False
744,5,77,28,28,49,50,0,False
745,5,78,20,20,35,36,2,False
746,5,79,14,14,19,20,0,False
747,5,80,25,25,41,42,4,False
748,5,81,26,26,42,43,2,False
749,5,82,50,50,81,81,10,False
750,5,83,32,32,51,52,4,False
751,5,84,20,20,35,36,0,False
752,5,85,27,27,36,37,0,False
753,5,86,14,14,20,21,2,False
754,5,87,22,22,38,39,2,False
755,5,88,18,18,30,31,4,False
756,5,89,61,61,102,103,2,False
757,5,90,33,33,56,57,2,False
758,5,91,32,32,52,53,0,False
759,5,92,28,28,40,41,2,False
760,5,93,32,32,57,58,2,False
761,5,94,29,29,50,50,6,False
762,5,95,71,71,111,112,2,False
763,5,96,27,27,47,48,6,False
764,5,97,44,44,66,67,0,False
765,5,98,16,16,22,23,0,False
766,5,99,16,16,24,25,2,False
767,5,100,20,20,33,34,2,False
768,5,101,37,37,63,64,2,False
