ayah_id,surah_number,ayah_number,issue_type,severity,detail,evidence
141,2,135,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:135"", ""word"": ""اِبْرٰهٖمَ""}"
142,2,136,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:136"", ""word"": ""اِبْرٰهٖمَ""}"
146,2,140,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:140"", ""word"": ""اِبْرٰهٖمَ""}"
146,2,140,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:140"", ""word"": ""نَصٰرٰى""}"
150,2,144,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:144"", ""word"": ""نَرٰى""}"
154,2,148,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:148"", ""word"": ""الْخَيْرٰتِۗ""}"
161,2,155,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:155"", ""word"": ""وَالثَّمَرٰتِۗ""}"
162,2,156,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:156"", ""word"": ""رٰجِعُوْنَۗ""}"
173,2,167,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:167"", ""word"": ""حَسَرٰتٍ""}"
264,2,258,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:258"", ""word"": ""اِبْرٰهٖمَ""}"
264,2,258,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:258"", ""word"": ""اِبْرٰهٖمُ""}"
264,2,258,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:258"", ""word"": ""اِبْرٰهٖمُ""}"
266,2,260,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:260"", ""word"": ""اِبْرٰهٖمُ""}"
272,2,266,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:266"", ""word"": ""الثَّمَرٰتِۙ""}"
288,2,282,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""2:282"", ""word"": ""الْاُخْرٰىۗ""}"
294,3,3,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:3"", ""word"": ""التَّوْرٰىةَ""}"
304,3,13,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:13"", ""word"": ""وَاُخْرٰى""}"
324,3,33,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:33"", ""word"": ""اِبْرٰهِيْمَ""}"
339,3,48,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:48"", ""word"": ""وَالتَّوْرٰىةَ""}"
341,3,50,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:50"", ""word"": ""التَّوْرٰىةِ""}"
356,3,65,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:65"", ""word"": ""اِبْرٰهِيْمَ""}"
356,3,65,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:65"", ""word"": ""التَّوْرٰىةُ""}"
358,3,67,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:67"", ""word"": ""اِبْرٰهِيْمُ""}"
359,3,68,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:68"", ""word"": ""بِاِبْرٰهِيْمَ""}"
375,3,84,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:84"", ""word"": ""اِبْرٰهِيْمَ""}"
384,3,93,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:93"", ""word"": ""التَّوْرٰىةُ""}"
384,3,93,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:93"", ""word"": ""بِالتَّوْرٰىةِ""}"
385,3,94,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:94"", ""word"": ""افْتَرٰى""}"
386,3,95,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:95"", ""word"": ""اِبْرٰهِيْمَ""}"
388,3,97,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:97"", ""word"": ""اِبْرٰهِيْمَ""}"
405,3,114,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:114"", ""word"": ""الْخَيْرٰتِۗ""}"
417,3,126,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:126"", ""word"": ""بُشْرٰى""}"
443,3,152,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:152"", ""word"": ""اَرٰىكُمْ""}"
444,3,153,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""3:153"", ""word"": ""اُخْرٰىكُمْ""}"
534,4,43,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""4:43"", ""word"": ""سُكَارٰى""}"
539,4,48,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""4:48"", ""word"": ""افْتَرٰٓى""}"
545,4,54,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""4:54"", ""word"": ""اِبْرٰهِيْمَ""}"
593,4,102,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""4:102"", ""word"": ""اُخْرٰى""}"
596,4,105,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""4:105"", ""word"": ""اَرٰىكَ""}"
616,4,125,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""4:125"", ""word"": ""اِبْرٰهِيْمَ""}"
616,4,125,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""4:125"", ""word"": ""اِبْرٰهِيْمَ""}"
654,4,163,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""4:163"", ""word"": ""اِبْرٰهِيْمَ""}"
681,5,14,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:14"", ""word"": ""نَصٰرٰٓى""}"
685,5,18,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:18"", ""word"": ""وَالنَّصٰرٰى""}"
710,5,43,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:43"", ""word"": ""التَّوْرٰىةُ""}"
711,5,44,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:44"", ""word"": ""التَّوْرٰىةَ""}"
713,5,46,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:46"", ""word"": ""التَّوْرٰىةِ""}"
713,5,46,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:46"", ""word"": ""التَّوْرٰىةِ""}"
715,5,48,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:48"", ""word"": ""الْخَيْرٰتِۗ""}"
718,5,51,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:51"", ""word"": ""وَالنَّصٰرٰٓى""}"
729,5,62,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:62"", ""word"": ""وَتَرٰى""}"
733,5,66,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:66"", ""word"": ""التَّوْرٰىةَ""}"
735,5,68,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:68"", ""word"": ""التَّوْرٰىةَ""}"
736,5,69,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:69"", ""word"": ""وَالنَّصٰرٰى""}"
747,5,80,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:80"", ""word"": ""تَرٰى""}"
749,5,82,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:82"", ""word"": ""نَصٰرٰىۗ""}"
750,5,83,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:83"", ""word"": ""تَرٰٓى""}"
773,5,106,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:106"", ""word"": ""اٰخَرٰنِ""}"
773,5,106,ra_sakin_context_unresolved,warning,Konteks Ra sakinah tidak dapat diputuskan secara aman.,"{""previous"": ""ا"", ""verse_key"": ""5:106"", ""word"": ""ارْتَبْتُمْ""}"
774,5,107,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:107"", ""word"": ""فَاٰخَرٰنِ""}"
777,5,110,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:110"", ""word"": ""وَالتَّوْرٰىةَ""}"
781,5,114,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""5:114"", ""word"": ""الرّٰزِقِيْنَ""}"
806,6,19,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:19"", ""word"": ""اُخْرٰىۗ""}"
808,6,21,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:21"", ""word"": ""افْتَرٰى""}"
814,6,27,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:27"", ""word"": ""تَرٰٓى""}"
817,6,30,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:30"", ""word"": ""تَرٰٓى""}"
855,6,68,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:68"", ""word"": ""الذِّكْرٰى""}"
856,6,69,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:69"", ""word"": ""ذِكْرٰى""}"
861,6,74,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:74"", ""word"": ""اِبْرٰهِيْمُ""}"
861,6,74,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:74"", ""word"": ""اَرٰىكَ""}"
862,6,75,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:75"", ""word"": ""اِبْرٰهِيْمَ""}"
870,6,83,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:83"", ""word"": ""اِبْرٰهِيْمَ""}"
877,6,90,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:90"", ""word"": ""ذِكْرٰى""}"
879,6,92,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:92"", ""word"": ""الْقُرٰى""}"
880,6,93,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:93"", ""word"": ""افْتَرٰى""}"
880,6,93,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:93"", ""word"": ""تَرٰٓى""}"
880,6,93,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:93"", ""word"": ""غَمَرٰتِ""}"
881,6,94,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:94"", ""word"": ""نَرٰى""}"
918,6,131,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:131"", ""word"": ""الْقُرٰى""}"
931,6,144,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:144"", ""word"": ""افْتَرٰى""}"
948,6,161,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:161"", ""word"": ""اِبْرٰهِيْمَ""}"
951,6,164,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""6:164"", ""word"": ""اُخْرٰىۚ""}"
953,7,2,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:2"", ""word"": ""وَذِكْرٰى""}"
978,7,27,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:27"", ""word"": ""يَرٰىكُمْ""}"
988,7,37,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:37"", ""word"": ""افْتَرٰى""}"
989,7,38,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:38"", ""word"": ""اُخْرٰىهُمْ""}"
990,7,39,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:39"", ""word"": ""لِاُخْرٰىهُمْ""}"
1005,7,54,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:54"", ""word"": ""مُسَخَّرٰتٍۢ""}"
1008,7,57,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:57"", ""word"": ""الثَّمَرٰتِۗ""}"
1011,7,60,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:60"", ""word"": ""لَنَرٰىكَ""}"
1017,7,66,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:66"", ""word"": ""لَنَرٰىكَ""}"
1047,7,96,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:96"", ""word"": ""الْقُرٰٓى""}"
1048,7,97,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:97"", ""word"": ""الْقُرٰٓى""}"
1049,7,98,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:98"", ""word"": ""الْقُرٰٓى""}"
1052,7,101,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:101"", ""word"": ""الْقُرٰى""}"
1081,7,130,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:130"", ""word"": ""الثَّمَرٰتِ""}"
1094,7,143,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:143"", ""word"": ""تَرٰىنِيْ""}"
1094,7,143,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:143"", ""word"": ""تَرٰىنِيْۚ""}"
1102,7,151,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:151"", ""word"": ""الرّٰحِمِيْنَ""}"
1108,7,157,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:157"", ""word"": ""التَّوْرٰىةِ""}"
1149,7,198,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""7:198"", ""word"": ""وَتَرٰىهُمْ""}"
1167,8,10,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""8:10"", ""word"": ""بُشْرٰى""}"
1200,8,43,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""8:43"", ""word"": ""اَرٰىكَهُمْ""}"
1205,8,48,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""8:48"", ""word"": ""اَرٰى""}"
1207,8,50,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""8:50"", ""word"": ""تَرٰٓى""}"
1224,8,67,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""8:67"", ""word"": ""اَسْرٰى""}"
1227,8,70,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""8:70"", ""word"": ""الْاَسْرٰٓىۙ""}"
1289,9,57,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""9:57"", ""word"": ""مَغٰرٰتٍ""}"
1302,9,70,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""9:70"", ""word"": ""اِبْرٰهِيْمَ""}"
1320,9,88,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""9:88"", ""word"": ""الْخَيْرٰتُ""}"
1343,9,111,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""9:111"", ""word"": ""اشْتَرٰى""}"
1343,9,111,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""9:111"", ""word"": ""التَّوْرٰىةِ""}"
1346,9,114,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""9:114"", ""word"": ""اِبْرٰهِيْمَ""}"
1346,9,114,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""9:114"", ""word"": ""اِبْرٰهِيْمَ""}"
1359,9,127,ra_without_resolvable_vowel_or_sukun,warning,Ra tidak memiliki vokal atau sukun eksplisit yang dapat diputuskan.,"{""verse_key"": ""9:127"", ""word"": ""يَرٰىكُمْ""}"
